[regular] uni1E22: added inherited anchor class 2 = (362, -110) from 'H'
[regular] uni1E23: added inherited anchor class 2 = (272, -110) from 'h'
[regular] uni1E26: added inherited anchor class 2 = (362, -110) from 'H'
[regular] uni1E27: added inherited anchor class 2 = (272, -110) from 'h'
[regular] uni1E2E: added inherited anchor class 2 = (147, -110) from 'I'
[regular] uni1E2F: added inherited anchor class 2 = (136, -110) from 'i'
[regular] uni1E30: added inherited anchor class 2 = (342, -110) from 'K'
[regular] uni1E31: added inherited anchor class 2 = (290, -110) from 'k'
[regular] uni1E3E: added inherited anchor class 2 = (393, -110) from 'M'
[regular] uni1E3F: added inherited anchor class 2 = (404, -110) from 'm'
[regular] uni1E40: added inherited anchor class 2 = (393, -110) from 'M'
[regular] uni1E41: added inherited anchor class 2 = (404, -110) from 'm'
[regular] uni1E44: added inherited anchor class 2 = (348, -110) from 'N'
[regular] uni1E45: added inherited anchor class 2 = (265, -110) from 'n'
[regular] uni1E4C: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1E4D: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1E4E: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1E4F: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1E50: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1E51: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1E52: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1E53: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1E54: added inherited anchor class 2 = (240, -110) from 'P'
[regular] uni1E55: added inherited anchor class 2 = (120, -319) from 'p'
[regular] uni1E56: added inherited anchor class 2 = (240, -110) from 'P'
[regular] uni1E57: added inherited anchor class 2 = (120, -319) from 'p'
[regular] uni1E58: added inherited anchor class 2 = (258, -110) from 'R'
[regular] uni1E59: added inherited anchor class 2 = (140, -110) from 'r'
[regular] uni1E60: added inherited anchor class 2 = (234, -110) from 'S'
[regular] uni1E61: added inherited anchor class 2 = (196, -110) from 's'
[regular] uni1E64: added inherited anchor class 2 = (234, -110) from 'S'
[regular] uni1E65: added inherited anchor class 2 = (196, -110) from 's'
[regular] uni1E66: added inherited anchor class 2 = (234, -110) from 'S'
[regular] uni1E67: added inherited anchor class 2 = (196, -110) from 's'
[regular] uni1E6A: added inherited anchor class 2 = (300, -110) from 'T'
[regular] uni1E6B: added inherited anchor class 2 = (163, -110) from 't'
[regular] uni1E78: added inherited anchor class 2 = (328, -110) from 'U'
[regular] uni1E79: added inherited anchor class 2 = (239, -110) from 'u'
[regular] uni1E7A: added inherited anchor class 2 = (328, -110) from 'U'
[regular] uni1E7B: added inherited anchor class 2 = (239, -110) from 'u'
[regular] uni1E7C: added inherited anchor class 2 = (318, -110) from 'V'
[regular] uni1E7D: added inherited anchor class 2 = (241, -110) from 'v'
[regular] Wgrave: added inherited anchor class 2 = (479, -110) from 'W'
[regular] wgrave: added inherited anchor class 2 = (352, -110) from 'w'
[regular] Wacute: added inherited anchor class 2 = (479, -110) from 'W'
[regular] wacute: added inherited anchor class 2 = (352, -110) from 'w'
[regular] Wdieresis: added inherited anchor class 2 = (479, -110) from 'W'
[regular] wdieresis: added inherited anchor class 2 = (352, -110) from 'w'
[regular] uni1E86: added inherited anchor class 2 = (479, -110) from 'W'
[regular] uni1E87: added inherited anchor class 2 = (352, -110) from 'w'
[regular] uni1E8A: added inherited anchor class 2 = (307, -110) from 'X'
[regular] uni1E8B: added inherited anchor class 2 = (224, -110) from 'x'
[regular] uni1E8C: added inherited anchor class 2 = (307, -110) from 'X'
[regular] uni1E8D: added inherited anchor class 2 = (224, -110) from 'x'
[regular] uni1E8E: added inherited anchor class 2 = (295, -110) from 'Y'
[regular] uni1E8F: added inherited anchor class 2 = (242, -319) from 'y'
[regular] uni1E90: added inherited anchor class 2 = (287, -110) from 'Z'
[regular] uni1E97: added inherited anchor class 2 = (163, -110) from 't'
[regular] uni1E98: added inherited anchor class 2 = (352, -110) from 'w'
[regular] uni1E99: added inherited anchor class 2 = (242, -319) from 'y'
[regular] uni1EA2: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EA3: added inherited anchor class 2 = (196, -110) from 'a'
[regular] uni1EA4: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EA5: added inherited anchor class 2 = (196, -110) from 'a'
[regular] uni1EA6: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EA7: added inherited anchor class 2 = (196, -110) from 'a'
